product_id,1st_peer_id,1st_similarity,2nd_peer_id,2nd_similarity,3rd_peer_id,3rd_similarity,4th_peer_id,4th_similarity,5th_peer_id,5th_similarity
73,173,0.62946771160299,551,0.62946771160299,647,0.62946771160299,751,0.62946771160299,615,0.6235793102025987
74,516,0.9491453205457501,357,0.948767374233021,360,0.9487326396217555,575,0.9485155710535516,403,0.9455999726303027
75,185,1.0,769,0.917971880835951,338,0.9161482164221258,409,0.9161482164221258,434,0.909258659789464
76,503,0.9996851576191744,744,0.8727769134191664,402,0.8661621360747137,335,0.8650987431167466,66,0.8643839248394245
77,616,0.8544332014774605,839,0.8501387306197355,374,0.8485049704697881,708,0.8443615650141709,743,0.8436613328764175
78,366,0.917589204576977,360,0.9022520139822804,357,0.9021367505024555,252,0.900939692634029,623,0.8964017020520462
79,606,0.2886751345948129,416,0.23570226039551587,750,0.23570226039551587,258,0.2182178902359924,111,0.20701966780270628
80,615,0.6924936842053693,405,0.6914170943104372,5,0.688576785938221,338,0.6882971679153123,409,0.6882971679153123
81,839,0.8139416996327989,9,0.8073438004283683,62,0.8063296924462579,330,0.795246503172075,693,0.795246503172075
82,335,0.8117309553721335,744,0.799367421646534,66,0.7975368749731822,402,0.7967803938549309,516,0.7946682806843289
83,351,0.7326936140374227,406,0.7282752230108286,769,0.7269554170380479,812,0.725697440932912,785,0.725037660606756
84,26,0.5161680549491695,621,0.5129124148535126,634,0.5102660413466039,636,0.4979908128141065,650,0.49510865045722624
85,362,0.9594287879374072,52,0.9592691088803217,367,0.9591141138953971,64,0.9563905191484751,59,0.9558285754958714
86,406,0.9416638709792684,366,0.9393960503761113,233,0.9325209447365889,516,0.9320338446370416,350,0.93166445668411
87,708,0.7668055946386731,360,0.7612626597142661,357,0.7612338984694891,623,0.7601340676752502,252,0.7592793868810431
88,88,1.0,159,1.0,214,1.0,775,1.0,787,0.6734612453567504
89,89,1.0,832,0.7464022961497656,616,0.7415327097544718,451,0.7363599249463496,838,0.7352617400007818
90,75,0.715030573052788,185,0.715030573052788,338,0.7030003452322965,409,0.7030003452322965,68,0.7009082369155205
91,516,0.7908275414688325,575,0.7902185788232764,335,0.7864372083669467,342,0.783925160026852,74,0.7830847964193258
92,153,0.7309303443472215,437,0.7308592358525873,536,0.7187555339853265,99,0.7184322056053124,835,0.7175074059695751
93,62,0.8906618052827299,374,0.8817185995451572,640,0.8810579999451529,743,0.8807764026989425,626,0.8786932107294646
94,410,0.9736862653934136,374,0.9514185694143132,153,0.9476588824072741,281,0.9423719026720849,437,0.9417413568649
95,374,0.8912364887075341,348,0.8801059341790244,849,0.8788538239915531,769,0.8768701441813253,615,0.8762087956962699
96,687,1.0,575,0.9656572359380322,516,0.9653798236449914,847,0.9466409598805008,535,0.9372176243265871
97,62,0.7827974035976097,839,0.7711673384402019,398,0.7599523037524168,255,0.7565630770801909,374,0.7553916956829779
98,516,0.8992096832386318,575,0.8990594380984754,337,0.8922778168377494,744,0.8864364247017095,66,0.8855058989720268
99,560,0.9999051464035282,437,0.9599569389508705,360,0.9577131291648199,357,0.9574913471931437,391,0.9567753583188819
100,847,0.7240922293070791,503,0.7044220606872836,76,0.7027935025393304,6,0.6955136024756444,153,0.694131779990148
101,549,0.8689412289159759,33,0.8678311089211178,695,0.8617395157987471,233,0.8614075470453434,406,0.8603403399374395
102,366,0.7815020631940905,623,0.776405662179043,832,0.7746282357260192,838,0.7731298218175713,627,0.7707130696143082
103,224,0.8568777047879849,276,0.8568777047879849,170,0.8557068543830085,611,0.8441285910723504,612,0.8439648853841007
104,451,0.9395794782921127,831,0.9373056853908067,769,0.9314855492621277,330,0.9295619068140626,693,0.9295619068140626
105,417,1.0,391,0.927992971390075,848,0.927992971390075,366,0.9271615572082119,40,0.9269818771447611
106,847,0.7947733769618426,153,0.7911502152515263,437,0.7852787601724819,374,0.7839155316234134,623,0.7770227638399305
